mrgid_ter1,name,territory_iso3c,sovereign_iso3c,continent
8468,Overlapping claim Qatar / Saudi Arabia / United Arab Emirates,QAT,QAT,Asia
2242,Qatar,QAT,QAT,Asia
8609,Réunion,REU,FRA,Africa
2241,Romania,ROU,ROU,Europe
2240,Russia,RUS,RUS,Europe
2215,Saudi Arabia,SAU,SAU,Asia
2183,Sudan,SDN,SDN,Africa
2183,Hala'ib Triangle,SDN,SDN,Africa
2225,Senegal,SEN,SEN,Africa
2225,Joint regime area Senegal / Guinea Bissau,SEN,SEN,Africa
2190,Singapore,SGP,SGP,Asia
8624,South Georgia and the South Sandwich Islands,SGS,GBR,"Southern
Ocean"
8619,Saint Helena,SHN,GBR,Africa
8621,Tristan Da Cunha,SHN,GBR,Africa
8620,Ascension,SHN,GBR,Africa
5343,Jan Mayen,SJM,NOR,Europe
5334,Svalbard,SJM,NOR,Europe
8593,Solomon Islands,SLB,SLB,Oceania
2191,Sierra Leone,SLE,SLE,Africa
2135,El Salvador,SLV,SLV,Americas
21446,San Marino,SMR,SMR,Europe
2187,Federal Republic of Somalia,SOM,SOM,Africa
8686,Saint-Pierre and Miquelon,SPM,FRA,Americas
2238,Sao Tome and Principe,STP,STP,Africa
2238,Joint regime area Nigeria / Sao Tome and Principe,STP,STP,Africa
2182,Suriname,SUR,SUR,Americas
2188,Slovenia,SVN,SVN,Europe
2180,Sweden,SWE,SWE,Europe
21802,Sint-Maarten,SXM,NLD,Americas
2192,Seychelles,SYC,SYC,Africa
3384,Syria,SYR,SYR,Asia
2211,Turks and Caicos Islands,TCA,GBR,Americas
8632,Togo,TGO,TGO,Africa
2207,Thailand,THA,THA,Asia
8675,Tokelau,TKL,NZL,Oceania
8757,East Timor,TLS,TLS,Asia
8674,Tonga,TON,TON,Oceania
2186,Trinidad and Tobago,TTO,TTO,Americas
2214,Tunisia,TUN,TUN,Africa
2213,Turkey,TUR,TUR,Asia
2210,Tuvalu,TUV,TUV,Oceania
2177,Taiwan,TWN,TWN,Asia
2205,Tanzania,TZA,TZA,Africa
2196,Ukraine,UKR,UKR,Europe
8678,Johnston Atoll,UMI,USA,Oceania
8597,Wake Island,UMI,USA,Oceania
48684,Howland and Baker islands,UMI,USA,Oceania
8668,Jarvis Island,UMI,USA,Oceania
8669,Palmyra Atoll,UMI,USA,Oceania
2216,Uruguay,URY,URY,Americas
2216,Joint regime area Argentina / Uruguay,URY,URY,Americas
2204,United States,USA,USA,Americas
2204,Joint regime area United States / Russia,USA,USA,Americas
8651,Saint Vincent and the Grenadines,VCT,VCT,Americas
2201,Venezuela,VEN,VEN,Americas
2201,Overlapping claim: Venezuela / Aruba / Dominican Republic,VEN,VEN,Americas
8653,British Virgin Islands,VGB,GBR,Americas
8642,United States Virgin Islands,VIR,USA,Americas
2200,Vietnam,VNM,VNM,Asia
2202,Vanuatu,VUT,VUT,Oceania
8680,Wallis and Futuna,WLF,FRA,Oceania
8671,Samoa,WSM,WSM,Oceania
2199,Yemen,YEM,YEM,Asia
2176,South Africa,ZAF,ZAF,Africa
